,DHSID_EA,cname,year,lat,lon,n_asset,asset_index,n_water,water_index,n_sanitation,sanitation_index,under5_mort,n_under5_mort,women_edu,women_bmi,n_women_edu,n_women_bmi,cluster_id,adm1fips,adm1dhs,urban
1936,AO-2011-6#-00000043,AO,2011,-12.13176,17.923544,32.0,-3.7025563163475983,32.0,1.0,32.0,1.125,31.25,32.0,0.3181818181818182,20.2525,22.0,,43,AO02,11,R
1937,AO-2011-6#-00000045,AO,2011,-13.913492,17.286135,36.0,-3.7951185255040754,36.0,1.0,36.0,1.0277777777777777,0.0,40.0,0.3928571428571428,20.2525,28.0,,45,AO02,11,R
1938,AO-2011-6#-00000046,AO,2011,-13.751458,17.183674,34.0,-3.697314513237036,34.0,1.0,34.0,1.1470588235294117,27.77777777777777,36.0,1.6666666666666667,20.2525,27.0,,46,AO02,11,R
1939,AO-2011-6#-00000047,AO,2011,-12.91732,15.720189,32.0,1.2087097041550798,32.0,4.78125,32.0,3.40625,22.22222222222222,45.0,4.925,20.2525,40.0,,47,AO08,10,R
1940,AO-2011-6#-00000048,AO,2011,-12.747986,15.767361,30.0,0.4166912674976342,30.0,4.1,30.0,3.2666666666666666,0.0,45.0,4.76,20.2525,25.0,,48,AO08,10,R
1941,AO-2011-6#-00000049,AO,2011,-12.79096,15.743495,26.0,-0.9370392408565268,26.0,3.269230769230769,26.0,3.1923076923076925,0.0,31.0,3.909090909090909,20.2525,22.0,,49,AO08,10,R
1942,AO-2011-6#-00000050,AO,2011,-12.875445,15.760207,35.0,-0.9048949980482588,35.0,3.4571428571428573,35.0,3.2285714285714286,34.48275862068965,29.0,3.6206896551724137,20.2525,29.0,,50,AO08,10,R
1943,AO-2011-6#-00000051,AO,2011,-12.743259,15.761831,37.0,0.1603488516584014,37.0,4.027027027027027,37.0,3.4054054054054053,0.0,40.0,5.857142857142857,20.2525,42.0,,51,AO08,10,R
1944,AO-2011-6#-00000052,AO,2011,-12.772853,15.756213,34.0,0.51274041905211,34.0,3.647058823529412,34.0,3.4705882352941178,50.0,40.0,3.612903225806452,20.2525,31.0,,52,AO08,10,R
1945,AO-2011-6#-00000053,AO,2011,-12.984558,15.943458,36.0,-0.8483053187749844,36.0,4.0,36.0,3.111111111111111,18.51851851851852,54.0,3.294117647058824,20.2525,34.0,,53,AO08,10,R
1946,AO-2011-6#-00000054,AO,2011,-12.73975,15.662196,35.0,-1.5046720656039834,35.0,3.4857142857142858,35.0,2.4571428571428573,21.73913043478261,46.0,2.9375,20.2525,32.0,,54,AO08,10,R
1947,AO-2011-6#-00000055,AO,2011,-12.537665,16.250486,35.0,-2.1601468651267206,35.0,2.628571428571429,35.0,2.4571428571428573,60.60606060606061,33.0,1.2413793103448276,20.2525,29.0,,55,AO08,10,R
1948,AO-2011-6#-00000056,AO,2011,-12.565216,16.261759,34.0,-2.710788878491343,34.0,1.0,34.0,2.588235294117647,37.73584905660377,53.0,1.2903225806451613,20.2525,31.0,,56,AO08,10,R
1949,AO-2011-6#-00000057,AO,2011,-13.43746,15.412271,37.0,-2.167649459620426,37.0,3.918918918918919,37.0,1.4864864864864864,0.0,66.0,1.4054054054054057,20.2525,37.0,,57,AO08,10,R
1950,AO-2011-6#-00000058,AO,2011,-13.530546,15.460572,12.0,-2.4901138028870573,12.0,3.75,12.0,1.0833333333333333,125.0,8.0,2.7142857142857144,20.2525,7.0,,58,AO08,10,R
1951,AO-2011-6#-00000060,AO,2011,-11.971578,16.488123,36.0,-2.571334533369359,36.0,1.0,36.0,2.861111111111111,62.5,48.0,0.7777777777777778,20.2525,36.0,,60,AO08,10,R
1952,AO-2011-6#-00000061,AO,2011,-5.564471,12.20079,32.0,1.02421990285301,32.0,5.0,32.0,2.8125,0.0,31.0,7.5,20.2525,44.0,,61,AO03,1,U
1953,AO-2011-6#-00000062,AO,2011,-5.57374,12.192002,32.0,1.9131512481976527,32.0,4.84375,32.0,3.875,0.0,35.0,7.555555555555555,20.2525,36.0,,62,AO03,1,U
1954,AO-2011-6#-00000063,AO,2011,-9.527211,16.338669,37.0,-0.4505096334875267,37.0,1.7297297297297298,37.0,3.2972972972972974,27.3972602739726,73.0,5.146341463414634,20.2525,41.0,,63,AO12,7,U
1955,AO-2011-6#-00000064,AO,2011,-9.542977,16.318552,37.0,0.7098669907259302,37.0,2.918918918918919,37.0,3.6216216216216215,0.0,33.0,7.097560975609756,20.2525,41.0,,64,AO12,7,U
1956,AO-2011-6#-00000065,AO,2011,-9.692947,14.432255,37.0,0.610681500539111,37.0,4.324324324324325,37.0,3.864864864864865,24.390243902439025,41.0,5.439024390243903,20.2525,41.0,,65,AO05,5,U
1957,AO-2011-6#-00000066,AO,2011,-9.68139,14.435284,36.0,-1.3867841522064162,36.0,1.75,36.0,2.5,0.0,35.0,4.03125,20.2525,32.0,,66,AO05,5,U
1958,AO-2011-6#-00000067,AO,2011,-7.61528,15.052982,34.0,2.402343648764988,35.0,4.914285714285715,35.0,4.457142857142857,0.0,32.0,9.73469387755102,20.2525,49.0,,67,AO15,3,U
1959,AO-2011-6#-00000068,AO,2011,-7.619236,15.061034,37.0,1.5717724782731632,37.0,4.945945945945946,37.0,3.864864864864865,0.0,32.0,9.64,20.2525,50.0,,68,AO15,3,U
1960,AO-2011-6#-00000069,AO,2011,-7.768684,15.252056,37.0,0.7755194007047367,37.0,4.4324324324324325,37.0,3.216216216216216,18.18181818181818,55.0,6.675,20.2525,40.0,,69,AO15,3,U
1961,AO-2011-6#-00000070,AO,2011,-7.774466,15.251551,37.0,0.3954232851331441,37.0,4.162162162162162,37.0,3.1621621621621623,0.0,70.0,6.24,20.2525,75.0,,70,AO15,3,U
1962,AO-2011-6#-00000071,AO,2011,-4.593331,12.862203,34.0,-1.2422093930683602,34.0,1.0,34.0,3.088235294117647,0.0,38.0,4.25,20.2525,32.0,,71,AO03,1,R
1963,AO-2011-6#-00000072,AO,2011,-4.465606,12.862364,11.0,-2.017055879046947,11.0,1.0,11.0,3.4545454545454546,0.0,6.0,0.6666666666666666,20.2525,6.0,,72,AO03,1,R
1964,AO-2011-6#-00000073,AO,2011,-9.598896,21.581055,36.0,-3.645725116801957,36.0,1.0,36.0,1.0833333333333333,0.0,45.0,0.7567567567567568,20.2525,37.0,,73,AO18,17,R
1965,AO-2011-6#-00000074,AO,2011,-9.055912,21.48238,24.0,-3.702385568294836,24.0,1.0,24.0,1.0,0.0,31.0,0.1363636363636363,20.2525,22.0,,74,AO18,17,R
1966,AO-2011-6#-00000075,AO,2011,-10.556164,22.039558,37.0,-3.573060724198856,37.0,1.0,37.0,1.135135135135135,0.0,39.0,1.4210526315789471,20.2525,38.0,,75,AO18,17,R
1967,AO-2011-6#-00000076,AO,2011,-10.559984,22.166975,37.0,-2.793755668280368,37.0,1.0810810810810811,37.0,1.2162162162162162,0.0,40.0,0.2903225806451613,20.2525,31.0,,76,AO18,17,R
1968,AO-2011-6#-00000077,AO,2011,-11.210758,19.821867,37.0,-3.603843888011001,37.0,1.0,37.0,1.162162162162162,18.867924528301884,53.0,0.4857142857142857,20.2525,35.0,,77,AO18,17,R
1969,AO-2011-6#-00000078,AO,2011,-11.150213,19.794632,28.0,-3.665934521973162,28.0,1.0,28.0,1.1071428571428572,0.0,36.0,0.9130434782608696,20.2525,23.0,,78,AO18,17,R
1970,AO-2011-6#-00000079,AO,2011,-7.695138,21.382574,37.0,-3.560365552314447,37.0,1.0,37.0,1.0810810810810811,0.0,44.0,0.71875,20.2525,32.0,,79,AO17,8,R
1971,AO-2011-6#-00000080,AO,2011,-7.728569,21.314003,37.0,-2.9913224344237617,37.0,1.3243243243243243,37.0,1.7297297297297298,0.0,36.0,0.1739130434782608,20.2525,23.0,,80,AO17,8,R
1972,AO-2011-6#-00000081,AO,2011,-7.36819,20.809591,37.0,-2.059941610626054,37.0,1.5405405405405406,37.0,1.9189189189189189,0.0,50.0,2.264705882352941,20.2525,34.0,,81,AO17,8,R
1973,AO-2011-6#-00000082,AO,2011,-7.384159,20.796074,37.0,-3.2011802701873338,37.0,1.0,37.0,1.2702702702702702,0.0,46.0,1.04,20.2525,25.0,,82,AO17,8,R
1974,AO-2011-6#-00000083,AO,2011,-9.761993,19.65721,36.0,-3.264615930223788,36.0,1.3333333333333333,36.0,1.2222222222222223,0.0,45.0,1.1428571428571428,20.2525,28.0,,83,AO17,8,R
1975,AO-2011-6#-00000084,AO,2011,-9.726207,19.631708,36.0,-3.645959787516105,36.0,1.0,36.0,1.0833333333333333,0.0,34.0,0.8787878787878788,20.2525,33.0,,84,AO17,8,R
1976,AO-2011-6#-00000085,AO,2011,-9.500242,17.465338,37.0,-3.10624206312531,37.0,1.972972972972973,37.0,1.351351351351351,0.0,34.0,1.696969696969697,20.2525,33.0,,85,AO17,8,R
1977,AO-2011-6#-00000086,AO,2011,-9.498591,17.830034,37.0,-3.5451725739600537,37.0,1.0,37.0,1.351351351351351,0.0,46.0,1.135135135135135,20.2525,37.0,,86,AO17,8,R
1978,AO-2011-6#-00000087,AO,2011,-9.568134,16.201998,36.0,-1.3896081348692917,36.0,1.0,36.0,4.888888888888889,0.0,23.0,2.952380952380953,20.2525,21.0,,87,AO12,7,R
1979,AO-2011-6#-00000088,AO,2011,-9.661635,16.297115,37.0,-3.712780046071708,37.0,1.0810810810810811,37.0,1.0,0.0,43.0,1.875,20.2525,32.0,,88,AO12,7,R
1980,AO-2011-6#-00000089,AO,2011,-9.469572,16.157831,29.0,-3.7474499205760488,29.0,1.0,29.0,1.0,0.0,28.0,1.1666666666666667,20.2525,24.0,,89,AO12,7,R
1981,AO-2011-6#-00000090,AO,2011,-9.445209,16.151482,21.0,-3.526248652664836,21.0,1.0,21.0,1.0,0.0,20.0,2.0526315789473686,20.2525,19.0,,90,AO12,7,R
1982,AO-2011-6#-00000091,AO,2011,-8.354865,16.118954,24.0,-2.979504121985733,24.0,1.0,24.0,1.4166666666666667,0.0,26.0,1.8,20.2525,15.0,,91,AO12,7,R
1983,AO-2011-6#-00000092,AO,2011,-8.378798,16.116516,21.0,-3.728119011961084,21.0,1.0,21.0,1.0,0.0,19.0,0.6363636363636364,20.2525,11.0,,92,AO12,7,R
1984,AO-2011-6#-00000093,AO,2011,-8.809969,16.79541,34.0,-0.8437668555772925,34.0,1.0,34.0,3.088235294117647,0.0,26.0,3.5217391304347827,20.2525,23.0,,93,AO12,7,R
1985,AO-2011-6#-00000094,AO,2011,-8.821804,16.767914,37.0,-2.829783329445006,37.0,1.0,37.0,2.108108108108108,0.0,34.0,2.3043478260869565,20.2525,23.0,,94,AO12,7,R
1986,AO-2011-6#-00000095,AO,2011,-8.495734,16.404243,29.0,-3.696149069097726,29.0,1.0,29.0,1.103448275862069,0.0,23.0,0.7272727272727273,20.2525,11.0,,95,AO12,7,R
1987,AO-2011-6#-00000096,AO,2011,-8.52078,16.361115,24.0,-3.3845281908879405,24.0,1.0,24.0,1.375,0.0,22.0,1.631578947368421,20.2525,19.0,,96,AO12,7,R
1988,AO-2011-6#-00000097,AO,2011,-10.972333,17.549232,36.0,-2.413158246246499,36.0,4.0,36.0,1.0,0.0,25.0,0.875,20.2525,16.0,,97,AO12,7,R
1989,AO-2011-6#-00000098,AO,2011,-10.999863,17.564072,31.0,-1.1829179114049022,31.0,4.0,31.0,2.6451612903225805,0.0,33.0,1.75,20.2525,24.0,,98,AO12,7,R
1990,AO-2011-6#-00000099,AO,2011,-9.478349,16.860985,33.0,-3.397392592039703,33.0,1.0,33.0,1.181818181818182,0.0,29.0,2.875,20.2525,24.0,,99,AO12,7,R
1991,AO-2011-6#-00000100,AO,2011,-9.481052,16.859833,33.0,-3.3507975153688703,33.0,1.0,33.0,1.3636363636363635,0.0,34.0,2.0357142857142856,20.2525,28.0,,100,AO12,7,R
1992,AO-2011-6#-00000101,AO,2011,-9.271637,15.235037,34.0,-3.389137198340992,34.0,1.0,34.0,1.5294117647058822,0.0,25.0,3.1739130434782608,20.2525,23.0,,101,AO05,5,R
1993,AO-2011-6#-00000102,AO,2011,-9.253066,15.241698,28.0,-3.653966663706728,28.0,1.0,28.0,1.1428571428571428,0.0,9.0,2.333333333333333,20.2525,12.0,,102,AO05,5,U
1994,AO-2011-6#-00000103,AO,2011,-8.177555,15.379147,37.0,-2.503584119818303,37.0,1.0810810810810811,37.0,2.6486486486486487,0.0,51.0,3.225,20.2525,40.0,,103,AO05,5,R
1995,AO-2011-6#-00000104,AO,2011,-8.205036,15.397273,35.0,-3.187651896981752,35.0,1.0,35.0,1.8,0.0,31.0,1.75,20.2525,20.0,,104,AO05,5,R
1996,AO-2011-6#-00000105,AO,2011,-8.896356,15.599051,35.0,-3.6678477628307777,35.0,1.0,35.0,1.0,0.0,45.0,2.074074074074074,20.2525,27.0,,105,AO05,5,R
1997,AO-2011-6#-00000106,AO,2011,-8.989537,15.580459,25.0,-2.45926721010066,26.0,2.769230769230769,26.0,1.6153846153846154,62.5,16.0,3.0,20.2525,12.0,,106,AO05,5,R
1998,AO-2011-6#-00000107,AO,2011,-7.790408,15.392677,37.0,-3.278746271018959,37.0,1.4864864864864864,37.0,1.3243243243243243,0.0,55.0,1.6875,20.2525,48.0,,107,AO15,3,R
1999,AO-2011-6#-00000108,AO,2011,-8.02952,15.575171,31.0,-2.792079475948398,31.0,2.161290322580645,31.0,1.6774193548387095,0.0,31.0,1.0,20.2525,22.0,,108,AO15,3,R
2000,AO-2011-6#-00000109,AO,2011,-6.066164,15.087652,37.0,-0.3942568477709724,37.0,3.918918918918919,37.0,2.45945945945946,0.0,69.0,4.6875,20.2525,48.0,,109,AO15,3,R
2001,AO-2011-6#-00000110,AO,2011,-6.081505,15.064407,37.0,-1.7825226330972994,37.0,2.945945945945946,37.0,2.081081081081081,19.607843137254903,51.0,3.36734693877551,20.2525,49.0,,110,AO15,3,R
2002,AO-2011-6#-00000111,AO,2011,-6.661051,15.11861,12.0,-2.3395602614744164,12.0,1.75,12.0,2.1666666666666665,0.0,19.0,4.0,20.2525,17.0,,111,AO15,3,R
2003,AO-2011-6#-00000112,AO,2011,-6.696079,15.13254,22.0,-1.752052353005784,22.0,2.363636363636364,22.0,2.227272727272727,0.0,25.0,4.423076923076923,20.2525,26.0,,112,AO15,3,R
2004,AO-2011-6#-00000113,AO,2011,-7.549677,15.45235,37.0,-3.366073340467921,37.0,1.5675675675675675,37.0,1.0,16.129032258064516,62.0,2.4565217391304346,20.2525,46.0,,113,AO15,3,R
2005,AO-2011-6#-00000114,AO,2011,-7.285451,15.377354,37.0,-3.571016063032047,37.0,1.0,37.0,1.2162162162162162,0.0,68.0,2.5,20.2525,44.0,,114,AO15,3,R
2006,AO-2011-6#-00000115,AO,2011,-6.492766,16.196566,36.0,-2.512331007871917,36.0,2.333333333333333,36.0,2.083333333333333,20.83333333333333,48.0,3.108108108108108,20.2525,37.0,,115,AO15,3,R
2007,AO-2011-6#-00000116,AO,2011,-6.613551,16.243774,37.0,-2.3345127029627,37.0,2.054054054054054,37.0,2.5135135135135136,52.63157894736842,38.0,3.6875,20.2525,32.0,,116,AO15,3,R
2008,AO-2011-6#-00000117,AO,2011,-6.622739,16.385077,37.0,-2.745197005042403,37.0,1.5675675675675675,37.0,2.135135135135135,18.18181818181818,55.0,4.05,20.2525,40.0,,117,AO15,3,R
2009,AO-2011-6#-00000118,AO,2011,-6.58359,16.46329,35.0,-2.70975499848332,35.0,1.5142857142857142,35.0,2.257142857142857,76.92307692307693,39.0,2.833333333333333,20.2525,30.0,,118,AO15,3,R
2010,AO-2011-6#-00000119,AO,2011,-6.476821,15.739399,37.0,-3.114605961278329,37.0,2.054054054054054,37.0,1.351351351351351,51.72413793103448,58.0,2.372093023255814,20.2525,43.0,,119,AO15,3,R
2011,AO-2011-6#-00000120,AO,2011,-6.496367,15.90848,37.0,-3.138172983421995,37.0,1.972972972972973,37.0,1.3783783783783785,51.72413793103448,58.0,2.268292682926829,20.2525,41.0,,120,AO15,3,R
2012,AO-2011-6#-00000121,AO,2011,-14.924358,13.499334,37.0,1.9760113775082744,37.0,4.945945945945946,37.0,3.972972972972973,62.5,32.0,10.021739130434783,20.2525,46.0,,121,AO09,15,U
2013,AO-2011-6#-00000122,AO,2011,-14.921202,13.4958,36.0,2.080210425554833,36.0,4.361111111111111,36.0,4.194444444444445,0.0,32.0,11.046511627906977,20.2525,43.0,,122,AO09,15,U
2014,AO-2011-6#-00000123,AO,2011,-14.916416,13.501424,33.0,2.287370072644663,33.0,4.666666666666667,33.0,4.454545454545454,0.0,25.0,10.432432432432432,20.2525,37.0,,123,AO09,15,U
2015,AO-2011-6#-00000124,AO,2011,-14.926751,13.495507,35.0,2.181571753473228,35.0,4.942857142857143,35.0,4.0285714285714285,0.0,43.0,8.829787234042554,20.2525,47.0,,124,AO09,15,U
2016,AO-2011-6#-00000125,AO,2011,-14.912081,13.501654,34.0,1.5181445097905706,34.0,4.235294117647059,34.0,3.5,28.57142857142857,35.0,7.833333333333333,20.2525,42.0,,125,AO09,15,U
2017,AO-2011-6#-00000126,AO,2011,-14.925065,13.495747,35.0,1.766954952797571,35.0,3.7142857142857135,35.0,4.228571428571429,0.0,46.0,9.955555555555556,20.2525,45.0,,126,AO09,15,U
2018,AO-2011-6#-00000127,AO,2011,-14.920751,13.493788,35.0,1.447517257734275,35.0,3.6,35.0,3.857142857142857,0.0,36.0,9.541666666666666,20.2525,48.0,,127,AO09,15,U
2019,AO-2011-6#-00000128,AO,2011,-14.91614,13.508469,32.0,2.215001300217898,32.0,5.0,32.0,4.03125,0.0,34.0,9.13953488372093,20.2525,43.0,,128,AO09,15,U
2020,AO-2011-6#-00000129,AO,2011,-17.066422,15.719677,37.0,1.354299151663862,37.0,3.5945945945945947,37.0,4.054054054054054,21.27659574468085,47.0,7.513513513513513,20.2525,37.0,,129,AO07,16,U
2021,AO-2011-6#-00000130,AO,2011,-17.06959,15.705331,37.0,1.264813729132498,37.0,3.5405405405405403,37.0,3.675675675675676,0.0,35.0,8.119047619047619,20.2525,42.0,,130,AO07,16,U
2022,AO-2011-6#-00000131,AO,2011,-15.121938,12.141942,33.0,0.9127879404342252,33.0,5.0,33.0,2.757575757575758,20.0,50.0,5.046511627906977,20.2525,43.0,,131,AO13,14,U
2023,AO-2011-6#-00000132,AO,2011,-15.193016,12.161707,32.0,2.787482969798012,32.0,5.0,32.0,4.75,34.48275862068965,29.0,10.16326530612245,20.2525,49.0,,132,AO13,14,U
2024,AO-2011-6#-00000133,AO,2011,-15.81808,11.82366,32.0,2.201874203658136,32.0,5.0,32.0,4.125,0.0,37.0,7.578947368421052,20.2525,38.0,,133,AO13,14,U
2025,AO-2011-6#-00000134,AO,2011,-15.798489,11.856787,34.0,1.1367372300450345,34.0,5.0,34.0,2.7058823529411766,29.41176470588235,34.0,6.403846153846154,20.2525,52.0,,134,AO13,14,U
2026,AO-2011-6#-00000135,AO,2011,-15.808056,17.921413,37.0,-3.1700673300041817,37.0,2.5135135135135136,37.0,1.0,0.0,40.0,1.71875,20.2525,32.0,,135,AO04,13,R
2027,AO-2011-6#-00000136,AO,2011,-15.469869,17.996157,35.0,-2.076633254852472,35.0,5.0,35.0,1.0,0.0,37.0,0.8076923076923077,20.2525,26.0,,136,AO04,13,R
